start_time,end_time,delta,elapsed_time,message_size,sending,from,to,num_peers
1721405759.8135002,1721405759.8136384, ,0.00013828277587890625,105,False,80.57.135.211:8092,None,0
1721405759.8676984,1721405759.8678017, ,0.00010323524475097656,105,False,80.57.135.211:8093,None,1
1721405759.9667876,1721405759.966911, ,0.00012350082397460938,105,False,80.57.135.211:8095,None,2
1721405763.5025196,1721405763.5118766,5,0.009356975555419922,1948,True,80.57.135.211:8094,80.57.135.211:8092,3
1721405765.4224854,1721405765.4250412, ,0.00255584716796875,4866,False,80.57.135.211:8092,80.57.135.211:8094,3
1721405768.5174398,1721405768.5270064,5,0.009566545486450195,4862,True,80.57.135.211:8094,80.57.135.211:8093,3
1721405770.1991413,1721405770.1992593, ,0.00011801719665527344,6253,False,80.57.135.211:8093,80.57.135.211:8094,3
1721405773.5320754,1721405773.5426726,5,0.01059722900390625,6185,True,80.57.135.211:8094,80.57.135.211:8095,3
1721405775.2150712,1721405775.215192, ,0.00012087821960449219,6219,False,80.57.135.211:8093,80.57.135.211:8094,3
1721405778.5484583,1721405778.5585086,5,0.010050296783447266,6151,True,80.57.135.211:8094,80.57.135.211:8092,3
1721405784.8050096,1721405784.8052034, ,0.0001938343048095703,6185,False,80.57.135.211:8095,80.57.135.211:8094,3
1721405788.564962,1721405788.5762382,5,0.0112762451171875,6151,True,80.57.135.211:8094,80.57.135.211:8092,3
1721405795.5028126,1721405795.5045748, ,0.0017621517181396484,6185,False,80.57.135.211:8092,80.57.135.211:8094,3
1721405798.5834231,1721405798.5935402,5,0.010117053985595703,6151,True,80.57.135.211:8094,80.57.135.211:8093,3
1721405805.284427,1721405805.2860909, ,0.0016639232635498047,6185,False,80.57.135.211:8093,80.57.135.211:8094,3
1721405808.6006608,1721405808.609697,5,0.00903630256652832,6151,True,80.57.135.211:8094,80.57.135.211:8092,3
1721405810.2993126,1721405810.3012927, ,0.0019800662994384766,6185,False,80.57.135.211:8093,80.57.135.211:8094,3
1721405813.6149414,1721405813.6237655,5,0.00882411003112793,6151,True,80.57.135.211:8094,80.57.135.211:8092,3
1721405815.548744,1721405815.5506978, ,0.0019538402557373047,6185,False,80.57.135.211:8092,80.57.135.211:8094,3
1721405818.628167,1721405818.638019,5,0.009852170944213867,6151,True,80.57.135.211:8094,80.57.135.211:8093,3
1721405820.3291388,1721405820.329267, ,0.00012826919555664062,6185,False,80.57.135.211:8093,80.57.135.211:8094,3
1721405823.6428497,1721405823.6520329,5,0.009183168411254883,6151,True,80.57.135.211:8094,80.57.135.211:8092,3
1721405834.8932495,1721405834.8933818, ,0.0001323223114013672,6185,False,80.57.135.211:8095,80.57.135.211:8094,3
1721405838.6611338,1721405838.6867645,5,0.025630712509155273,6151,True,80.57.135.211:8094,80.57.135.211:8093,3
1721405845.3939803,1721405845.396147, ,0.002166748046875,6185,False,80.57.135.211:8093,80.57.135.211:8094,3
1721405848.6938329,1721405848.7034643,5,0.00963139533996582,6151,True,80.57.135.211:8094,80.57.135.211:8093,3
1721405854.94115,1721405854.9434397, ,0.0022897720336914062,6185,False,80.57.135.211:8095,80.57.135.211:8094,3
1721405855.4261906,1721405855.4284627, ,0.0022721290588378906,6185,False,80.57.135.211:8093,80.57.135.211:8094,3
1721405855.6153634,1721405855.6200361, ,0.0046727657318115234,6185,False,80.57.135.211:8092,80.57.135.211:8094,3
1721405858.710289,1721405858.7214735,5,0.011184453964233398,6151,True,80.57.135.211:8094,80.57.135.211:8095,3
1721405863.7274942,1721405863.737335,5,0.009840726852416992,6151,True,80.57.135.211:8094,80.57.135.211:8095,3
1721405865.6476645,1721405865.6498559, ,0.002191305160522461,6185,False,80.57.135.211:8092,80.57.135.211:8094,3
1721405868.742313,1721405868.7548232,5,0.012510299682617188,6151,True,80.57.135.211:8094,80.57.135.211:8092,3
1721405869.9883347,1721405869.9884617, ,0.0001270771026611328,6185,False,80.57.135.211:8095,80.57.135.211:8094,3
1721405870.6646526,1721405870.6688702, ,0.004217624664306641,6185,False,80.57.135.211:8092,80.57.135.211:8094,3
1721405873.759639,1721405873.768004,5,0.00836491584777832,6151,True,80.57.135.211:8094,80.57.135.211:8095,3
1721405875.0046353,1721405875.004801, ,0.00016570091247558594,6185,False,80.57.135.211:8095,80.57.135.211:8094,3
1721405878.773936,1721405878.7857592,5,0.011823177337646484,6151,True,80.57.135.211:8094,80.57.135.211:8092,3
1721405880.6858442,1721405880.686, ,0.00015592575073242188,6185,False,80.57.135.211:8092,80.57.135.211:8094,3
1721405883.7942615,1721405883.8036473,5,0.009385824203491211,6151,True,80.57.135.211:8094,80.57.135.211:8095,3
1721405885.696966,1721405885.6970909, ,0.00012493133544921875,6185,False,80.57.135.211:8092,80.57.135.211:8094,3
1721405888.8078659,1721405888.8185668,5,0.01070094108581543,6151,True,80.57.135.211:8094,80.57.135.211:8095,3
1721405890.4790058,1721405890.4815898, ,0.0025839805603027344,6185,False,80.57.135.211:8093,80.57.135.211:8094,3
1721405893.8236003,1721405893.8334818,5,0.00988149642944336,6151,True,80.57.135.211:8094,80.57.135.211:8095,3
1721405894.6196697,1721405894.6198096, ,0.0001399517059326172,105,False,80.57.135.211:8096,None,3
1721405895.052637,1721405895.0553288, ,0.0026917457580566406,6185,False,80.57.135.211:8095,80.57.135.211:8094,4
1721405898.839505,1721405898.8504527,5,0.010947704315185547,6151,True,80.57.135.211:8094,80.57.135.211:8095,4
1721405903.8561506,1721405903.8650448,5,0.008894205093383789,6151,True,80.57.135.211:8094,80.57.135.211:8093,4
1721405905.717754,1721405905.7178795, ,0.00012564659118652344,6185,False,80.57.135.211:8092,80.57.135.211:8094,4
1721405908.8701627,1721405908.8811035,5,0.010940790176391602,6151,True,80.57.135.211:8094,80.57.135.211:8095,4
1721405910.0986214,1721405910.1003165, ,0.0016951560974121094,6185,False,80.57.135.211:8095,80.57.135.211:8094,4
1721405913.8861873,1721405913.8954244,5,0.009237051010131836,6151,True,80.57.135.211:8094,80.57.135.211:8095,4
1721405915.1123624,1721405915.11251, ,0.0001475811004638672,6185,False,80.57.135.211:8095,80.57.135.211:8094,4
1721405918.9000778,1721405918.9106038,5,0.010525941848754883,6151,True,80.57.135.211:8094,80.57.135.211:8095,4
1721405920.5199914,1721405920.5201244, ,0.00013303756713867188,6185,False,80.57.135.211:8093,80.57.135.211:8094,4
1721405923.9153297,1721405923.928344,5,0.01301431655883789,6151,True,80.57.135.211:8094,80.57.135.211:8093,4
1721405925.5362473,1721405925.5382566, ,0.0020093917846679688,6185,False,80.57.135.211:8093,80.57.135.211:8094,4
1721405928.933708,1721405928.9444952,5,0.010787248611450195,6151,True,80.57.135.211:8094,80.57.135.211:8096,4
